mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_model__l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,model,param_model__max_depth,param_model__min_samples_leaf,param_model__n_estimators,param_model__learning_rate
0.015198135375976562,0.0032201222221266866,0.005357599258422852,0.0007602763875445015,0.01,0.5,"{'model__alpha': 0.01, 'model__l1_ratio': 0.5}",-0.1252592126188338,-0.13273315589304674,-0.1119329425975715,-0.13489747543092226,-0.10859031599840265,-0.12268262050775539,0.010686471735693667,11,Elastic net,,,,
0.010982036590576172,0.0003181967977354473,0.004525899887084961,0.00022334026309838435,0.01,0.9,"{'model__alpha': 0.01, 'model__l1_ratio': 0.9}",-0.1286823557759665,-0.13507914191781403,-0.11372327271057384,-0.13611891516746288,-0.11176422047491076,-0.12507358120934559,0.01040290812596634,12,Elastic net,,,,
1.7248712062835694,0.01917433147391908,0.03937473297119141,0.007291721301974179,,,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 250}",-0.11000340554172365,-0.11770727017154783,-0.09451914724361211,-0.12200923514505507,-0.09157749063977648,-0.10716330974834302,0.012185527064000381,1,Random forest,,1.0,250.0,
3.54416561126709,0.1457200426235926,0.0698667049407959,0.005548528026916228,,,"{'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}",-0.11073420033756239,-0.11776187825594214,-0.09450484512202442,-0.12162887045921032,-0.09152680981314529,-0.10723132079757691,0.01215768966617707,2,Random forest,,1.0,500.0,
1.325677251815796,0.025726520791030147,0.04561166763305664,0.03183648221155839,,,"{'model__max_depth': None, 'model__min_samples_leaf': 3, 'model__n_estimators': 250}",-0.10985804742378397,-0.11939876988681862,-0.09541274943742271,-0.12237852078075467,-0.09255014218087236,-0.10791964594193046,0.012142741490185712,7,Random forest,,3.0,250.0,
2.7718536376953127,0.21019923963285433,0.05945611000061035,0.007522500798593979,,,"{'model__max_depth': None, 'model__min_samples_leaf': 3, 'model__n_estimators': 500}",-0.11061191354713167,-0.11950621239357778,-0.09521458107976148,-0.1220430998578416,-0.09198379366493685,-0.10787192010864988,0.01229900361559092,5,Random forest,,3.0,500.0,
1.1525099277496338,0.04715465031948891,0.03573384284973145,0.011203831804022724,,,"{'model__max_depth': None, 'model__min_samples_leaf': 6, 'model__n_estimators': 250}",-0.11073720085923698,-0.12133327381469246,-0.09698404419564557,-0.12407350189417608,-0.09465573828876607,-0.10955675181050344,0.012090733180476019,9,Random forest,,6.0,250.0,
2.5928850173950195,0.4231997140495235,0.053116989135742185,0.007171287368921102,,,"{'model__max_depth': None, 'model__min_samples_leaf': 6, 'model__n_estimators': 500}",-0.11150370412713569,-0.12165502859940736,-0.09672850481808506,-0.12447695850129853,-0.09400644300592514,-0.10967412781037036,0.012482616964961555,11,Random forest,,6.0,500.0,
1.51394944190979,0.013494773730708252,0.029938745498657226,0.0005589232954066742,,,"{'model__max_depth': 12, 'model__min_samples_leaf': 1, 'model__n_estimators': 250}",-0.11032542699756404,-0.11796805195063596,-0.09457757556814149,-0.12209255328116157,-0.0919824368684635,-0.10738920893319333,0.012150952275926446,3,Random forest,12,1.0,250.0,
3.01053524017334,0.018651093436550158,0.058530235290527345,0.0029235046719465045,,,"{'model__max_depth': 12, 'model__min_samples_leaf': 1, 'model__n_estimators': 500}",-0.1111069611460173,-0.11812370259669913,-0.09451507140658806,-0.12187322870628109,-0.09164593954322607,-0.10745298067976232,0.012267122551566235,4,Random forest,12,1.0,500.0,
